IP ADDR            PORT                APPLICATION                                 CLASS  DPI/AppMap  IDLE TIME MS
10.71.50.17          53                    APP_DNS             APP_CLASS_NETWORK_SERVICE         APM        293975
40.101.19.146       443                APP_OUTLOOK        APP_CLASS_BUSINESS_APPLICATION         DPI        131866
67.27.250.126        80         APP_WINDOWS_UPDATE                         APP_CLASS_WEB         DPI        208296
10.71.114.60      50458                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        538020
172.67.5.69         443                    APP_UDP               APP_CLASS_OTHER_TCP_UDP         DPI        184505
10.20.36.194      57211                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI        546617
52.114.133.168      443               APP_MS_TEAMS  APP_CLASS_INTERNET_INSTANT_MESSAGING         DPI        422242
20.54.24.148        443    APP_WINDOWS_MARKETPLACE                         APP_CLASS_WEB         DPI        354979
194.145.83.74        80                    APP_TCP               APP_CLASS_OTHER_TCP_UDP         DPI         33158
54.191.154.194      443                APP_MOZILLA                         APP_CLASS_WEB         DPI        220217
104.16.185.248      443             APP_CLOUDFLARE              APP_CLASS_INFRASTRUCTURE         DPI        261561
