"name","location.u_site_id","u_node_id"
"0027043DE33B","ITQUA","ITQUA-AAES-ANIRA (00:27:04:3D:E3:3B)"
"0027043DE345","DEHAM","DEHAM-AAES-ANIRA (00:27:04:3D:E3:45)"
"0027043DE38B","AUBRJ","AUBRJ-AAES-ANIRA (00:27:04:3D:E3:8B)"
"0027043DE39F","FRSAI","FRSAI-AAES-ANIRA (00:27:04:3D:E3:9F)"
"0027043DE421","ATWIE","ATWIE-AAES-ANIRA (00:27:04:3D:E4:21)"
"0027043DE435","SISEN","SISEN-EMEA-ANIRA (00:27:04:3D:E4:35)"
"0027043DE471","BELID","BELID-AAES-ANIRA (00:27:04:3D:E4:71)"
"0027043DE6C9","FIJOE","FIJOE-EMEA-ANIRA (00:27:04:3D:E6:C9)"
"0027043E8DCB","USGRA","USGRA-AAES-ANIRA (00:27:04:3E:8D:CB)"
"0027043EB11B","USLOU","USLOU-AAES-ANIRA (00:27:04:3E:B1:1B)"
"0027043EFAEF","USCOH","USCOH-AAES-ANIRA (00:27:04:3E:FA:EF)"
"0027043EFC43","USKRN","USKRN-AAES-ANIRA (00:27:04:3E:FC:43)"
"002704402875","UKLIT","UKLIT-EMEA-ANIRA (00:27:04:40:28:75)"
"002704402951","BRDIB","BRDIB-AMER-ANIRA (00:27:04:40:29:51)"
"002704402AC3","MXREY","MXREY-AAES-ANIRA (00:27:04:40:2A:C3)"
"0027044033E7","MXLEO","MXLEO-AMER-ANIRA (00:27:04:40:33:E7)"
"002704403B5D","AEDUB","AEDUB-HOSP-ANIRA (00:27:04:40:3B:5D)"
"002704403B71","AEDSS","AEDSS-EMEA-ANIRA (00:27:04:40:3B:71)"
"002704403B85","AEINV","AEINV-AAES-ANIRA (00:27:04:40:3B:85)"
"002704403D01","CLODI","CLODI-AMER-ANIRA (00:27:04:40:3D:01)"
"002704403D47","ESSFH","ESSFH-HOSP-ANIRA (00:27:04:40:3D:47)"
"002704403FEF","BEHER","BEHER-HOSP-ANIRA (00:27:04:40:3F:EF)"
"0027044042BF","UKCHE","UKCHE-EMEA-ANIRA (00:27:04:40:42:BF)"
"00270440489B","UKWEL","UKWEL-HOSP-ANIRA (00:27:04:40:48:9B)"
"0027044048B9","MXAGA","MXAGA-AAES-ANIRA (00:27:04:40:48:B9)"
"0027044048C3","MXCHI","MXCHI-AAES-ANIRA (00:27:04:40:48:C3)"
"0027044048CD","MXMOR","MXMOR-AAES-ANIRA (00:27:04:40:48:CD)"
"00270440E531","USUPP","USUPP-AAES-ANIRA (00:27:04:40:E5:31)"
"0027044116F5","FRROM","FRROM-EMEA-ANIRA (00:27:04:41:16:F5)"
"00270441182B","PLWAR","PLWAR-EMEA-ANIRA (00:27:04:41:18:2B)"
"002704411853","NLAME","NLAME-EMEA-ANIRA (00:27:04:41:18:53)"
"002704411993","FIJOE","FIOUL-EMEA-ANIRA (00:27:04:41:19:93)"
"0027044119CF","DEEFT","DEEFT-EMEA-ANIRA (00:27:04:41:19:CF)"
"0027044119ED","CZRYC","CZRYC-EMEA-ANIRA (00:27:04:41:19:ED)"
"002704411A0B","CZPRA","CZPRA-EMEA-ANIRA (00:27:04:41:1A:0B)"
"002704411A15","HRMET","HRMET-EMEA-ANIRA (00:27:04:41:1A:15)"
"002704411AC9","BEBRU","BEBRU-EMEA-ANIRA (00:27:04:41:1A:C9)"
"002704411AF1","FRSEY","FRSEY-AAES-ANIRA (00:27:04:41:1A:F1)"
"002704411B2D","FRCHA","FRCHA-AAES-ANIRA (00:27:04:41:1B:2D)"
"002704411B4B","FRCIO","FRCIO-EMEA-ANIRA (00:27:04:41:1B:4B)"
"002704411B55","FRTRO","FRTRO-EMEA-ANIRA (00:27:04:41:1B:55)"
"002704411B5F","FROUS","FROUS-EMEA-ANIRA (00:27:04:41:1B:5F)"
