"UKDUR","Bowburn, County Durham","Alex Collins","Garrie Bridle (Inactive)"
"UKOLN","Olney (30 Stilebrook Rd)","Zack Goodger","Adam Atherton"
"CNCRI","Shanghai (New Jinqiao Road)","",""
"USBET","Bethlehem (6343 Winside Drive)","",""
"AUYEN","Yennora (Orchardleigh Street)","Stephen Truban (inactive)","Frank Zhang"
"USDC1","GSSC Data center North America Primary","",""
"CATOR","Mississauga, ON (Pacific Circle)","Jason Gibson","Chris Kirwan"
"PTLEC","Leca da Palmeira (Rua Hintze Ribeiro)","JOSE HOLZER (Inactive)","Jose Luis Cristobal"
"NLMAA","Maastricht (Horsterweg)","Peter Krause","Abdul Basit"
"MXTUL","San Mateo Cuautepec (Tultitlan)","",""
"FRVAL","Valbonne (route des Cr�tes)","",""
"ITIBM","Settimo Milanese (Via Darwin)","Marco Ruscelloni","Ivan Busi"
"SEVST","V�ster�s (Pressverksgatan)","",""
"BEHER","Herentals (Traka Belux)","",""
"KRANY","An-yang (Simin-daero 361)","Andrea Heo","Ryan Wu"
"CZPRS","Praha (Sezemick�)","",""
"USNWB","New Berlin, WI (S Emmer Dr)","Jason Gibson","Chris Kirwan"
"ZANEL","Nelspruit (22 Rapid St)","",""
"USNJW","Hackensack, NJ (Commerce Way)","Issac Stern","Pete Wheeler"
"USGRE","Greenville, SC (Perimeter Rd)","Marcus Menasce","John Pereira"
"USPEH","Peachtree City, GA (Gardner Park)","Melanie Foster","Lawrence Coles"
"USLIB","Libertyville, IL (E Park Ave)","Onur Cam","Don Riney"
"NOMJO","Mj�ndalen (Strandveien)","Eva Margrethe Mathisen","Amela Buhic"
"UKCAR","Cardiff (Cae Gwyrdd)","Lisa Bartlett","Artur Guscio (inactive)"
"DESCI","Schermbeck (Landwehr 101)","",""
"FRAUB","Aubagne, Marseille (Traverse de la Batis","",""
"USWOR","Auburn, MA (A St)","Marcus Menasce","John Pereira"
"PLWAZ","Warsaw (Byslavska 82)","Robert Laskus","Abdul Basit"
"CRALA","Alajuela (Parque log�stico LATAM, Sobre ","",""
"AUDRY","Adelaide, SA (High St)","Jack Ung","Jason Ngo (inactive)"
"TWTOW","Hukou Township (l� No.11 Guangfu Rd)","",""
"CNYAN","Yantai, Laishan District, Shandong Provi","Demon Zhang","Simon Xi (inactive)"
"ESBAH","Barcelona (Cornell� de Llobregat)","Laura Moreno","Jose Salvador"
"UKSOT","Stoke-on-Trent (Dewsbury Rd)","Matthew Glennie","Arash Mohsen"
"SEMEA","Ume� (Backenv�gen)","",""
"SEBYG","Str�ngn�s (Eldsunda)","Gerhard Sahlberg",""
"AUBRJ","Brisbane, QLD (20 Wharf St)","Arash Mohsen","Zahir Mogra"
"TRTUZ","Istanbul (Tuzla)","Lutfu Cakil","Jonathan Heranz (inactive)"
"AULAN","Landsdale (Christable Way)","",""
"FRSRE","Suresnes (Rue de Verdun)","Yannick Bernard","Gobuchandhar Rangasamy (inactive)"
