FIRAH-EMEA-ANIRA (00:27:04:37:C7:B7)
USSTE-AMER-AVPN (USASSASTENY01R)
FROUS-EMEIA-IDF02-ST01
USNEW-AMER-ANIRA (00:27:04:38:54:39)
USHRR-HOSP-ANIRA (00:27:04:3D:86:CF)
UKERD-EMEA-ANIRA (00:27:04:37:E3:37)
FROUS-EMEIA-IDF06-SW01
FROUS-EMEIA-IDF07-SW01
FROUS-EMEIA-IDF08-ST01
MYKUB-APAC-AVPN (MYASSASEL0001R)
MYKUB-APAC-ANIRA (00:27:04:3D:D0:E9)
AUMAR-APAC-AVPN (AUASSABEV0002R)
FRTRO-EMEIA-MDF100-ST01
FRTRO-EMEIA-IDF100-ST02
FRTRO-EMEIA-IDF001-ST01
FRTRO-EMEIA-IDF101-SW01
USNEW-AMER-ZSCALER (USNEWR-ZSGRE)
FRLON-EMEIA-IDF01-SW01
FRLON-EMEIA-IDF02-SW01
FRLON-EMEIA-IDF03-SW01	
FRLON-EMEIA-IDF04-SW01
FRLON-EMEIA-IDF05-SW01	
FRLON-EMEIA-IDF06-SW01	
FRLON-EMEIA-IDF07-SW01
FRLON-EMEIA-IDF09-SW01
FRLON-EMEIA-IDF10-SW01
